model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
Llama-8B,CarSales,0.4,negative,3079,206,0.06690483923351738,37742,210,0.005564093052832389,-0.5063734978940058,0.5063734978940058,0.6661168066954095,0.15974330880140367,0.6403882361025217
Llama-8B,CarSales,0.5,negative,3079,81,0.026307242611237416,37742,81,0.002146150177521064,-0.6025968946553456,0.6025968946553456,0.7079247056842148,0.10532781102886923,0.7128071345663939
Llama-8B,CarSales,0.6,negative,3079,28,0.00909386164339071,37742,28,0.0007418790737109851,-0.702456442186414,0.702456442186414,0.7641885196327773,0.06173207744636317,0.7309692787371357
Llama-8B,CarSales,0.7,negative,3079,10,0.003247807729782397,37742,10,0.0002649568120396375,-0.791068550497122,0.791068550497122,0.8016326530612246,0.010564102564102562,0.8558119658119658
Llama-8B,Gridworld,0.1,negative,5000,3417,0.6834,70669,6342,0.08974231982906225,-0.17430839220248281,0.17430839220248281,0.4452429768397655,0.2709345846372827,0.5119531599309272
Llama-8B,Gridworld,0.2,negative,5000,1258,0.2516,70669,1549,0.021919087577296974,-0.2799980556295358,0.2799980556295358,0.5244580087884833,0.2444599531589475,0.5690172236359531
Llama-8B,Gridworld,0.3,negative,5000,429,0.0858,70669,452,0.006396015225912352,-0.37706399829977577,0.37706399829977577,0.5791556161214821,0.20209161782170634,0.6336322963649226
Llama-8B,Gridworld,0.4,negative,5000,115,0.023,70669,116,0.0016414552349686567,-0.4786067216855394,0.4786067216855394,0.6262634614974517,0.14765673981191227,0.7232019565120479
Llama-8B,Gridworld,0.5,negative,5000,34,0.0068,70669,34,0.0004811161895597787,-0.5799584076054664,0.5799584076054664,0.675344622697564,0.09538621509209744,0.835329131652661
Llama-8B,Gridworld,0.6,negative,5000,7,0.0014,70669,7,9.905333314466031e-05,-0.7208513708513707,0.7208513708513707,0.7779942279942281,0.05714285714285716,0.8958333333333333
Llama-8B,Gridworld,0.7,negative,5000,4,0.0008,70669,4,5.660190465409161e-05,-0.7621717171717172,0.7621717171717172,0.8371717171717172,0.07500000000000001,0.984375
Llama-8B,Interview,0.1,negative,5000,3251,0.6502,62881,10158,0.1615432324549546,-0.2297285415395555,0.2297285415395555,0.6311137299349127,0.40138518839535725,0.6411757363902442
Llama-8B,Interview,0.2,negative,5000,2523,0.5046,62881,4459,0.07091172214182344,-0.3434586162159012,0.3434586162159012,0.6364495574473132,0.29299094123141217,0.7022675289610636
Llama-8B,Interview,0.3,negative,5000,1846,0.3692,62881,2243,0.035670552313099346,-0.4426314437011714,0.4426314437011714,0.669934803599205,0.22730335989803357,0.7385254962314967
Llama-8B,Interview,0.4,negative,5000,1105,0.221,62881,1161,0.018463446828135686,-0.5327584606622293,0.5327584606622293,0.7091032145694536,0.17634475390722426,0.762112068404818
Llama-8B,Interview,0.5,negative,5000,586,0.1172,62881,598,0.009510026876162911,-0.6149803079483932,0.6149803079483932,0.7469768499902927,0.13199654204189953,0.7937225788998857
Llama-8B,Interview,0.6,negative,5000,264,0.0528,62881,267,0.004246115678821901,-0.7027654068375843,0.7027654068375843,0.7995501349805975,0.09678472814301306,0.8307452929313471
Llama-8B,Interview,0.7,negative,5000,114,0.0228,62881,114,0.0018129482673621602,-0.7815659076408401,0.7815659076408401,0.8429999332296005,0.06143402558876042,0.8381231169930862
Qwen-7B,AdvisorAudit,0.1,negative,5000,3727,0.7454,70981,6793,0.0957016666431862,-0.18433792423333636,0.18433792423333636,0.43830040041398494,0.25396247618064854,0.5066283194929899
Qwen-7B,AdvisorAudit,0.2,negative,5000,1518,0.3036,70981,1916,0.026993139009030585,-0.29047723013961807,0.29047723013961807,0.5441258170556109,0.25364858691599274,0.5795493986497763
Qwen-7B,AdvisorAudit,0.3,negative,5000,564,0.1128,70981,618,0.008706555275355377,-0.392950923845404,0.392950923845404,0.6088344935853567,0.2158835697399527,0.6447328066153023
Qwen-7B,AdvisorAudit,0.4,negative,5000,188,0.0376,70981,198,0.0027894788746284215,-0.5025126262626262,0.5025126262626262,0.6713378684807255,0.1688252422180994,0.7283207533207533
Qwen-7B,AdvisorAudit,0.5,negative,5000,67,0.0134,70981,67,0.0009439145686873953,-0.613895065488882,0.613895065488882,0.7472433749619249,0.133348309473043,0.7856862664698484
Qwen-7B,AdvisorAudit,0.6,negative,5000,29,0.0058,70981,29,0.0004085600371930517,-0.6981843771991556,0.6981843771991556,0.7913441238564392,0.0931597466572836,0.8039061513199444
Qwen-7B,AdvisorAudit,0.7,negative,5000,12,0.0024,70981,12,0.00016905932573505587,-0.7679591836734695,0.7679591836734695,0.8729591836734693,0.10499999999999998,0.7904914529914531
Qwen-7B,BS,0.1,negative,5000,3948,0.7896,72149,8176,0.1133210439507131,-0.1802502723093455,0.1802502723093455,0.4605775766112211,0.2803273043018756,0.5168928238225392
