model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
Qwen-7B,AdvisorAudit,0.6,positive,5000,104,0.0208,70981,104,0.0014651808230371508,0.6919684283969999,0.6919684283969999,0.18356194400837259,0.8755303724053725,0.7321493057282085
Qwen-7B,AdvisorAudit,0.7,positive,5000,38,0.0076,70981,38,0.0005353545314943436,0.762718999880654,0.762718999880654,0.12970998925886143,0.8924289891395154,0.8109106901870061
Qwen-7B,BS,0.1,positive,5000,4022,0.8044,72149,13040,0.1807370857530943,0.19395554384118452,0.19395554384118452,0.43894421840296133,0.6328997622441459,0.5512763742432635
Qwen-7B,BS,0.2,positive,5000,2818,0.5636,72149,4601,0.06377080763420144,0.28885900056652,0.28885900056652,0.4057644607088712,0.6946234612753912,0.5900635345394797
Qwen-7B,BS,0.3,positive,5000,1285,0.257,72149,1476,0.020457664000887055,0.39031962853682073,0.39031962853682073,0.3629756913053336,0.7532953198421543,0.6443682790675856
Qwen-7B,BS,0.4,positive,5000,463,0.0926,72149,476,0.006597458038226448,0.4953683575102636,0.4953683575102636,0.31535885989075063,0.8107272174010143,0.7227254136948899
Qwen-7B,BS,0.5,positive,5000,162,0.0324,72149,163,0.0022592135719136787,0.5987037587185058,0.5987037587185058,0.260256814860685,0.8589605735791909,0.7958150744960562
Qwen-7B,BS,0.6,positive,5000,69,0.0138,72149,69,0.0009563542114235817,0.6755865576624932,0.6755865576624932,0.20940524843471334,0.8849918060972066,0.8161835748792269
Qwen-7B,BS,0.7,positive,5000,20,0.004,72149,20,0.0002772041192532121,0.757442957588696,0.757442957588696,0.13351686639640223,0.8909598239850984,0.7810416666666667
Qwen-7B,CarSales,0.1,positive,5000,4270,0.854,62917,9972,0.15849452453232035,0.20243282251293246,0.20243282251293246,0.45914561473315363,0.661578437246086,0.5532438637810886
Qwen-7B,CarSales,0.2,positive,5000,2639,0.5278,62917,3544,0.05632817839375685,0.31396421890099785,0.31396421890099785,0.4307308346574428,0.7446950535584406,0.6022624062457336
Qwen-7B,CarSales,0.3,positive,5000,1358,0.2716,62917,1476,0.023459478360379548,0.4152000075408765,0.4152000075408765,0.38491307081092346,0.8001130783518001,0.6419293680905948
Qwen-7B,CarSales,0.4,positive,5000,585,0.117,62917,593,0.009425115628526472,0.5224775651488749,0.5224775651488749,0.33512207902432767,0.8575996441732026,0.663924060762172
Qwen-7B,CarSales,0.5,positive,5000,271,0.0542,62917,271,0.004307261948281069,0.6178298177410027,0.6178298177410027,0.27697745346944125,0.8948072712104438,0.6915581292426312
Qwen-7B,CarSales,0.6,positive,5000,122,0.0244,62917,122,0.0019390625745029165,0.7043954745812535,0.7043954745812535,0.21697869161138925,0.9213741661926427,0.7384253269499172
Qwen-7B,CarSales,0.7,positive,5000,53,0.0106,62917,53,0.0008423796430217589,0.7815285651523198,0.7815285651523198,0.16413237189338034,0.9456609370457003,0.7746193533929383
Qwen-7B,Gridworld,0.1,positive,5000,2811,0.5622,67192,9747,0.14506191213239672,0.2515125558000378,0.2515125558000378,0.33539561797550627,0.5869081737755442,0.6107469344888551
Qwen-7B,Gridworld,0.2,positive,5000,2529,0.5058,67192,4981,0.07413084891058459,0.3551824528384406,0.3551824528384406,0.3182328761347434,0.6734153289731839,0.6508011245262801
Qwen-7B,Gridworld,0.3,positive,5000,2080,0.416,67192,2625,0.039067150851291824,0.45534760748232206,0.45534760748232206,0.2875609001182169,0.7429085076005388,0.6796613735470878
